,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.0005241659999910553,68.0,0.0,0.1,1000
1,1,0.0029762499999606007,68.0,2.0,0.1,1000
2,2,0.00346766600000592,69.0,4.0,0.1,1000
3,3,0.003951625000013337,71.0,6.0,0.1,1000
4,4,0.004204040999979952,71.0,7.0,0.1,1000
5,5,0.004457499999944048,71.0,8.0,0.1,1000
6,6,0.004710832999990089,71.0,9.0,0.1,1000
7,7,0.0052007909999929325,71.0,11.0,0.1,1000
8,8,0.005686207999929138,73.0,13.0,0.1,1000
9,9,0.006170540999960394,75.0,15.0,0.1,1000
10,10,0.006418374999952903,75.0,16.0,0.1,1000
11,11,0.0069129579999298585,77.0,18.0,0.1,1000
12,12,0.007403374999967127,79.0,20.0,0.1,1000
13,13,0.007881750000024113,79.0,22.0,0.1,1000
14,14,0.008130875000006199,79.0,23.0,0.1,1000
15,15,0.00837941600002523,79.0,24.0,0.1,1000
16,16,0.008853583000018261,79.0,26.0,0.1,1000
17,17,0.009338374999970256,79.0,28.0,0.1,1000
18,18,0.009808457999952225,81.0,30.0,0.1,1000
19,19,0.010272374999999556,81.0,32.0,0.1,1000
20,20,0.010744665999936842,81.0,34.0,0.1,1000
21,21,0.011207874999968226,83.0,36.0,0.1,1000
22,22,0.011668457999917337,85.0,38.0,0.1,1000
23,23,0.012131124999996246,87.0,40.0,0.1,1000
24,24,0.012597625000012158,87.0,42.0,0.1,1000
25,25,0.012842832999922393,87.0,43.0,0.1,1000
26,26,0.013308790999985831,87.0,45.0,0.1,1000
27,27,0.01377695799999401,87.0,47.0,0.1,1000
28,28,0.014022665999959827,87.0,48.0,0.1,1000
29,29,0.014491249999991851,87.0,50.0,0.1,1000
30,30,0.014738749999992251,87.0,51.0,0.1,1000
31,31,0.015208707999931903,87.0,53.0,0.1,1000
32,32,0.015455624999958673,87.0,54.0,0.1,1000
33,33,0.015925290999916797,87.0,56.0,0.1,1000
34,34,0.016174165999927936,87.0,57.0,0.1,1000
35,35,0.01642341599995234,87.0,58.0,0.1,1000
36,36,0.016672707999987324,87.0,59.0,0.1,1000
37,37,0.016922874999977466,87.0,60.0,0.1,1000
38,38,0.017396624999946653,87.0,62.0,0.1,1000
39,39,0.017869040999926256,87.0,64.0,0.1,1000
40,40,0.018342166000024918,87.0,66.0,0.1,1000
41,41,0.018594082999925376,87.0,67.0,0.1,1000
42,42,0.018845875000010892,87.0,68.0,0.1,1000
43,43,0.01932554099994377,87.0,70.0,0.1,1000
