,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0006367500000123982,68.0,0.0,True,50,0.5,1000
1,1,0.025344625000002452,72.0,2.0,True,50,0.5,1000
2,2,0.04803162500002145,74.0,4.0,True,50,0.5,1000
3,3,0.07194333400002506,76.0,6.0,True,50,0.5,1000
4,4,0.09482766700000411,83.0,8.0,True,50,0.5,1000
5,5,0.1174762919999921,83.0,9.0,True,50,0.5,1000
6,6,0.14025820899996688,86.0,11.0,True,50,0.5,1000
7,7,0.1635577499999954,87.0,13.0,True,50,0.5,1000
8,8,0.18623024999999416,87.0,14.0,True,50,0.5,1000
9,9,0.20890595899993514,91.0,16.0,True,50,0.5,1000
10,10,0.23093858400000045,91.0,17.0,True,50,0.5,1000
11,11,0.2510464590000083,93.0,19.0,True,50,0.5,1000
12,12,0.2737478750000264,95.0,21.0,True,50,0.5,1000
13,13,0.29655604200002017,95.0,22.0,True,50,0.5,1000
14,14,0.3164526670000214,95.0,23.0,True,50,0.5,1000
15,15,0.33795312500001273,95.0,24.0,True,50,0.5,1000
16,16,0.3600169999999707,95.0,25.0,True,50,0.5,1000
17,17,0.3843149169999833,95.0,26.0,True,50,0.5,1000
18,18,0.4083330419999811,95.0,27.0,True,50,0.5,1000
19,19,0.43287120899992715,95.0,28.0,True,50,0.5,1000
20,20,0.45847700000001623,95.0,29.0,True,50,0.5,1000
21,21,0.48333420899996327,95.0,30.0,True,50,0.5,1000
22,22,0.5073975000000246,95.0,31.0,True,50,0.5,1000
23,23,0.5314591249999694,95.0,32.0,True,50,0.5,1000
24,24,0.5557331249999606,95.0,33.0,True,50,0.5,1000
25,25,0.5752740000000358,95.0,34.0,True,50,0.5,1000
26,26,0.598993250000035,95.0,35.0,True,50,0.5,1000
27,27,0.6225101249999625,95.0,36.0,True,50,0.5,1000
28,28,0.6471213339999622,95.0,37.0,True,50,0.5,1000
29,29,0.6697560840000278,95.0,38.0,True,50,0.5,1000
30,30,0.6922774999999319,95.0,39.0,True,50,0.5,1000
31,31,0.714623999999958,95.0,40.0,True,50,0.5,1000
32,32,0.7370885420000377,95.0,41.0,True,50,0.5,1000
33,33,0.7596218749999935,95.0,42.0,True,50,0.5,1000
34,34,0.7820911669999759,95.0,43.0,True,50,0.5,1000
35,35,0.8042069589999983,95.0,44.0,True,50,0.5,1000
36,36,0.8262719589999961,95.0,45.0,True,50,0.5,1000
37,37,0.8486184590000221,97.0,47.0,True,50,0.5,1000
38,38,0.8702200840000387,97.0,48.0,True,50,0.5,1000
39,39,0.8941089999999576,97.0,49.0,True,50,0.5,1000
40,40,0.9172152500000266,97.0,50.0,True,50,0.5,1000
41,41,0.9401592919999757,97.0,51.0,True,50,0.5,1000
42,42,0.9618091249999452,97.0,52.0,True,50,0.5,1000
43,43,0.9839162920000035,97.0,53.0,True,50,0.5,1000
44,44,1.0060826249999764,97.0,54.0,True,50,0.5,1000
45,45,1.0281024590000243,97.0,55.0,True,50,0.5,1000
46,46,1.0500130419999323,97.0,56.0,True,50,0.5,1000
47,47,1.0718884169999683,97.0,57.0,True,50,0.5,1000
48,48,1.093148250000013,97.0,58.0,True,50,0.5,1000
49,49,1.1150275840000177,97.0,59.0,True,50,0.5,1000
50,50,1.1367289999999457,97.0,60.0,True,50,0.5,1000
51,51,1.158617208999999,97.0,61.0,True,50,0.5,1000
52,52,1.1768505840000216,97.0,62.0,True,50,0.5,1000
53,53,1.1986587919999465,97.0,63.0,True,50,0.5,1000
54,54,1.220485124999982,97.0,64.0,True,50,0.5,1000
55,55,1.2423244999999952,97.0,65.0,True,50,0.5,1000
56,56,1.264187958999969,97.0,66.0,True,50,0.5,1000
57,57,1.2861387499999637,97.0,67.0,True,50,0.5,1000
58,58,1.3084733749999486,97.0,68.0,True,50,0.5,1000
59,59,1.3319866670000238,97.0,69.0,True,50,0.5,1000
60,60,1.3553215839999666,97.0,70.0,True,50,0.5,1000
61,61,1.379575917000011,97.0,71.0,True,50,0.5,1000
62,62,1.4034257920000073,97.0,72.0,True,50,0.5,1000
63,63,1.4279922499999884,97.0,73.0,True,50,0.5,1000
64,64,1.4521930839999868,97.0,74.0,True,50,0.5,1000
65,65,1.476441292000004,97.0,75.0,True,50,0.5,1000
66,66,1.5002046669999345,97.0,76.0,True,50,0.5,1000
67,67,1.5244523750000099,97.0,77.0,True,50,0.5,1000
68,68,1.548317124999926,97.0,78.0,True,50,0.5,1000
69,69,1.571973666999952,97.0,79.0,True,50,0.5,1000
70,70,1.5949337089999744,97.0,80.0,True,50,0.5,1000
71,71,1.6172235420000334,97.0,81.0,True,50,0.5,1000
72,72,1.6391331669999545,97.0,82.0,True,50,0.5,1000
73,73,1.6610970419999376,97.0,83.0,True,50,0.5,1000
74,74,1.682968083999981,97.0,84.0,True,50,0.5,1000
75,75,1.7047984170000063,97.0,85.0,True,50,0.5,1000
76,76,1.726891749999936,97.0,86.0,True,50,0.5,1000
77,77,1.7489732919999597,97.0,87.0,True,50,0.5,1000
78,78,1.770888291999995,97.0,88.0,True,50,0.5,1000
79,79,1.793242333999956,97.0,89.0,True,50,0.5,1000
80,80,1.8154602089999798,97.0,90.0,True,50,0.5,1000
81,81,1.8377319169999282,97.0,91.0,True,50,0.5,1000
82,82,1.8598513749999483,97.0,92.0,True,50,0.5,1000
83,83,1.881838000000016,97.0,93.0,True,50,0.5,1000
84,84,1.9038691250000284,97.0,94.0,True,50,0.5,1000
85,85,1.92592424999998,97.0,95.0,True,50,0.5,1000
86,86,1.947980541999982,97.0,96.0,True,50,0.5,1000
87,87,1.9701003750000154,97.0,97.0,True,50,0.5,1000
88,88,1.9922743749999654,97.0,98.0,True,50,0.5,1000
89,89,2.014322833999927,97.0,99.0,True,50,0.5,1000
90,90,2.036541292000038,97.0,100.0,True,50,0.5,1000
91,91,2.058815916999947,97.0,101.0,True,50,0.5,1000
92,92,2.0811426669999946,97.0,102.0,True,50,0.5,1000
93,93,2.103616249999959,97.0,103.0,True,50,0.5,1000
94,94,2.1264781669999593,97.0,104.0,True,50,0.5,1000
95,95,2.1487537089999478,97.0,105.0,True,50,0.5,1000
96,96,2.170935708999991,97.0,106.0,True,50,0.5,1000
97,97,2.1931465000000117,97.0,107.0,True,50,0.5,1000
98,98,2.2154686249999713,97.0,108.0,True,50,0.5,1000
99,99,2.2389829169999302,97.0,109.0,True,50,0.5,1000
100,100,2.2624441670000124,97.0,110.0,True,50,0.5,1000
101,101,2.2852256249999527,97.0,111.0,True,50,0.5,1000
102,102,2.307647041999985,97.0,112.0,True,50,0.5,1000
103,103,2.329762125000002,97.0,113.0,True,50,0.5,1000
104,104,2.3519147920000023,97.0,114.0,True,50,0.5,1000
105,105,2.374147459000028,97.0,115.0,True,50,0.5,1000
106,106,2.396479124999928,97.0,116.0,True,50,0.5,1000
107,107,2.4185871669999415,97.0,117.0,True,50,0.5,1000
108,108,2.4407014590000244,97.0,118.0,True,50,0.5,1000
109,109,2.4627495839999938,97.0,119.0,True,50,0.5,1000
110,110,2.4846972089999326,97.0,120.0,True,50,0.5,1000
111,111,2.5065883339999573,97.0,121.0,True,50,0.5,1000
112,112,2.528405541999973,97.0,122.0,True,50,0.5,1000
113,113,2.5502601250000225,97.0,123.0,True,50,0.5,1000
114,114,2.5721039999999675,97.0,124.0,True,50,0.5,1000
115,115,2.5939079590000347,97.0,125.0,True,50,0.5,1000
116,116,2.6157501669999874,97.0,126.0,True,50,0.5,1000
117,117,2.6376067090000106,97.0,127.0,True,50,0.5,1000
118,118,2.6594331669999747,97.0,128.0,True,50,0.5,1000
119,119,2.681467583999961,97.0,129.0,True,50,0.5,1000
120,120,2.7035033749999684,97.0,130.0,True,50,0.5,1000
121,121,2.725483625000038,97.0,131.0,True,50,0.5,1000
122,122,2.7475734999999304,97.0,132.0,True,50,0.5,1000
123,123,2.7695942089999335,97.0,133.0,True,50,0.5,1000
124,124,2.7916548749999492,97.0,134.0,True,50,0.5,1000
125,125,2.814088708999975,97.0,135.0,True,50,0.5,1000
126,126,2.8366328339999427,97.0,136.0,True,50,0.5,1000
127,127,2.858773250000013,97.0,137.0,True,50,0.5,1000
128,128,2.8809667089999493,97.0,138.0,True,50,0.5,1000
129,129,2.903237792000027,97.0,139.0,True,50,0.5,1000
130,130,2.9271472919999724,97.0,140.0,True,50,0.5,1000
131,131,2.9499529999999368,97.0,141.0,True,50,0.5,1000
132,132,2.9722712919999594,97.0,142.0,True,50,0.5,1000
133,133,2.9942157919999772,97.0,143.0,True,50,0.5,1000
134,134,3.0160792089999404,97.0,144.0,True,50,0.5,1000
135,135,3.0378991669999778,97.0,145.0,True,50,0.5,1000
136,136,3.059700416999931,97.0,146.0,True,50,0.5,1000
137,137,3.082484499999964,97.0,147.0,True,50,0.5,1000
138,138,3.1046315840000034,97.0,148.0,True,50,0.5,1000
139,139,3.1264724169999454,97.0,149.0,True,50,0.5,1000
140,140,3.1483274999999367,97.0,150.0,True,50,0.5,1000
141,141,3.170156583999983,97.0,151.0,True,50,0.5,1000
142,142,3.1919579999999996,97.0,152.0,True,50,0.5,1000
143,143,3.214165874999935,97.0,153.0,True,50,0.5,1000
144,144,3.2372657920000165,97.0,154.0,True,50,0.5,1000
145,145,3.2604264169999624,97.0,155.0,True,50,0.5,1000
146,146,3.2836778339999455,97.0,156.0,True,50,0.5,1000
147,147,3.306754875000024,97.0,157.0,True,50,0.5,1000
148,148,3.329378375000033,97.0,158.0,True,50,0.5,1000
149,149,3.351710042000036,97.0,159.0,True,50,0.5,1000
150,150,3.373978291999947,97.0,160.0,True,50,0.5,1000
151,151,3.3962613749999946,97.0,161.0,True,50,0.5,1000
152,152,3.4185304589999532,97.0,162.0,True,50,0.5,1000
153,153,3.4407532499999434,97.0,163.0,True,50,0.5,1000
154,154,3.4629517920000126,97.0,164.0,True,50,0.5,1000
155,155,3.4851215840000123,97.0,165.0,True,50,0.5,1000
156,156,3.507222249999927,97.0,166.0,True,50,0.5,1000
157,157,3.529251791999968,97.0,167.0,True,50,0.5,1000
158,158,3.551278000000025,97.0,168.0,True,50,0.5,1000
159,159,3.573296791999951,97.0,169.0,True,50,0.5,1000
160,160,3.5953101669999796,97.0,170.0,True,50,0.5,1000
161,161,3.617269624999949,97.0,171.0,True,50,0.5,1000
162,162,3.639282417000004,97.0,172.0,True,50,0.5,1000
163,163,3.6613481670000283,97.0,173.0,True,50,0.5,1000
164,164,3.6835327499999266,97.0,174.0,True,50,0.5,1000
165,165,3.7057143339999357,97.0,175.0,True,50,0.5,1000
166,166,3.7278175000000147,97.0,176.0,True,50,0.5,1000
167,167,3.7499343339999314,97.0,177.0,True,50,0.5,1000
168,168,3.7721632089999275,97.0,178.0,True,50,0.5,1000
169,169,3.7944810420000294,97.0,179.0,True,50,0.5,1000
170,170,3.8165867919999528,97.0,180.0,True,50,0.5,1000
171,171,3.838866333999931,97.0,181.0,True,50,0.5,1000
172,172,3.8611382089999324,97.0,182.0,True,50,0.5,1000
173,173,3.8833617919999597,97.0,183.0,True,50,0.5,1000
174,174,3.9056368750000274,97.0,184.0,True,50,0.5,1000
175,175,3.928015291999941,97.0,185.0,True,50,0.5,1000
176,176,3.9502714999999853,97.0,186.0,True,50,0.5,1000
177,177,3.9724453339999855,97.0,187.0,True,50,0.5,1000
178,178,3.994391708999956,97.0,188.0,True,50,0.5,1000
179,179,4.016246083999931,97.0,189.0,True,50,0.5,1000
180,180,4.0384237089999715,97.0,190.0,True,50,0.5,1000
181,181,4.060303708999982,97.0,191.0,True,50,0.5,1000
182,182,4.082194500000014,97.0,192.0,True,50,0.5,1000
183,183,4.104169666999951,97.0,193.0,True,50,0.5,1000
184,184,4.126269666999974,97.0,194.0,True,50,0.5,1000
185,185,4.1481939999999895,97.0,195.0,True,50,0.5,1000
186,186,4.1711687499999925,97.0,196.0,True,50,0.5,1000
187,187,4.194745291999993,97.0,197.0,True,50,0.5,1000
188,188,4.218147083999952,97.0,198.0,True,50,0.5,1000
189,189,4.240952417000017,97.0,199.0,True,50,0.5,1000
190,190,4.263990708999927,97.0,200.0,True,50,0.5,1000
191,191,4.287120917000038,97.0,201.0,True,50,0.5,1000
192,192,4.309896708999986,97.0,202.0,True,50,0.5,1000
193,193,4.3321085420000145,97.0,203.0,True,50,0.5,1000
194,194,4.354225124999971,97.0,204.0,True,50,0.5,1000
195,195,4.376334208999992,97.0,205.0,True,50,0.5,1000
196,196,4.39845066700002,97.0,206.0,True,50,0.5,1000
197,197,4.420509000000038,97.0,207.0,True,50,0.5,1000
198,198,4.442750083999954,97.0,208.0,True,50,0.5,1000
199,199,4.465095958999996,97.0,209.0,True,50,0.5,1000
200,200,4.487226209000028,97.0,210.0,True,50,0.5,1000
201,201,4.5092882499999405,97.0,211.0,True,50,0.5,1000
202,202,4.531256249999956,97.0,212.0,True,50,0.5,1000
203,203,4.55328616700001,97.0,213.0,True,50,0.5,1000
204,204,4.575269749999961,97.0,214.0,True,50,0.5,1000
205,205,4.597269459000017,97.0,215.0,True,50,0.5,1000
206,206,4.619264250000015,97.0,216.0,True,50,0.5,1000
207,207,4.641208124999935,97.0,217.0,True,50,0.5,1000
208,208,4.663458249999962,97.0,218.0,True,50,0.5,1000
209,209,4.685974291999969,97.0,219.0,True,50,0.5,1000
210,210,4.7080547919999844,97.0,220.0,True,50,0.5,1000
211,211,4.7299754169999915,97.0,221.0,True,50,0.5,1000
212,212,4.75186599999995,97.0,222.0,True,50,0.5,1000
213,213,4.773785416999999,97.0,223.0,True,50,0.5,1000
214,214,4.795816791999982,97.0,224.0,True,50,0.5,1000
215,215,4.817862084000012,97.0,225.0,True,50,0.5,1000
216,216,4.8399197500000355,97.0,226.0,True,50,0.5,1000
217,217,4.862015667000037,97.0,227.0,True,50,0.5,1000
218,218,4.8841639170000235,97.0,228.0,True,50,0.5,1000
219,219,4.907041542000002,97.0,229.0,True,50,0.5,1000
220,220,4.9299951670000155,97.0,230.0,True,50,0.5,1000
221,221,4.952600749999988,97.0,231.0,True,50,0.5,1000
222,222,4.975205834000008,97.0,232.0,True,50,0.5,1000
223,223,4.9973754999999755,97.0,233.0,True,50,0.5,1000
224,224,5.019478499999991,97.0,234.0,True,50,0.5,1000
225,225,5.041518166999936,97.0,235.0,True,50,0.5,1000
226,226,5.063406834000034,97.0,236.0,True,50,0.5,1000
227,227,5.085308083999962,97.0,237.0,True,50,0.5,1000
228,228,5.107215999999994,97.0,238.0,True,50,0.5,1000
229,229,5.129120374999957,97.0,239.0,True,50,0.5,1000
230,230,5.151008292000029,97.0,240.0,True,50,0.5,1000
231,231,5.172901000000024,97.0,241.0,True,50,0.5,1000
232,232,5.194829667000022,97.0,242.0,True,50,0.5,1000
233,233,5.2167084999999815,97.0,243.0,True,50,0.5,1000
234,234,5.238604916999975,97.0,244.0,True,50,0.5,1000
235,235,5.2605025419999265,97.0,245.0,True,50,0.5,1000
236,236,5.2824165419999645,97.0,246.0,True,50,0.5,1000
237,237,5.304301417000033,97.0,247.0,True,50,0.5,1000
238,238,5.326181791999943,97.0,248.0,True,50,0.5,1000
