,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.0005197919999773148,68.0,0.0,0,1000,0
1,1,0.002699792000043999,68.0,1.0,0,1000,0
2,2,0.0029369999999744323,68.0,2.0,0,1000,0
3,3,0.0031713749999653373,68.0,3.0,0,1000,0
4,4,0.0036299170000120284,69.0,5.0,0,1000,0
5,5,0.0040862920000108716,71.0,7.0,0,1000,0
6,6,0.004318167000064932,71.0,8.0,0,1000,0
7,7,0.0045505420000608865,71.0,9.0,0,1000,0
8,8,0.004783542000041052,71.0,10.0,0,1000,0
9,9,0.005034207999983664,71.0,11.0,0,1000,0
10,10,0.005284208000034596,71.0,12.0,0,1000,0
11,11,0.00553504200001953,71.0,13.0,0,1000,0
12,12,0.005775999999968917,71.0,14.0,0,1000,0
13,13,0.00601249999999709,71.0,15.0,0,1000,0
14,14,0.0062482920000093145,71.0,16.0,0,1000,0
15,15,0.006485167000050751,71.0,17.0,0,1000,0
16,16,0.006734166999990521,71.0,18.0,0,1000,0
17,17,0.007222667000064575,73.0,20.0,0,1000,0
18,18,0.007693000000017491,75.0,22.0,0,1000,0
19,19,0.008151458000043021,77.0,24.0,0,1000,0
20,20,0.008391458000005514,77.0,25.0,0,1000,0
21,21,0.008629208000002109,77.0,26.0,0,1000,0
22,22,0.00886862499999097,77.0,27.0,0,1000,0
23,23,0.00933858300004431,79.0,29.0,0,1000,0
24,24,0.00980204200004664,81.0,31.0,0,1000,0
25,25,0.010043999999993503,81.0,32.0,0,1000,0
26,26,0.010285833000011735,81.0,33.0,0,1000,0
27,27,0.010528750000048603,81.0,34.0,0,1000,0
28,28,0.010773041999982524,81.0,35.0,0,1000,0
29,29,0.011030957999992097,81.0,36.0,0,1000,0
30,30,0.011275082999986807,81.0,37.0,0,1000,0
31,31,0.011519333000023835,81.0,38.0,0,1000,0
32,32,0.011762999999973545,81.0,39.0,0,1000,0
33,33,0.012033208000048035,81.0,40.0,0,1000,0
34,34,0.01229341700002351,81.0,41.0,0,1000,0
35,35,0.012538333000065904,81.0,42.0,0,1000,0
36,36,0.012800707999986116,81.0,43.0,0,1000,0
37,37,0.013062250000075437,81.0,44.0,0,1000,0
38,38,0.0133082080000122,81.0,45.0,0,1000,0
39,39,0.013554792000036286,81.0,46.0,0,1000,0
40,40,0.014025917000026311,83.0,48.0,0,1000,0
41,41,0.014274125000042659,83.0,49.0,0,1000,0
42,42,0.014522000000056323,83.0,50.0,0,1000,0
